name,price,first_name,last_name,above_100
William Garcia,258.1809089,William,Garcia,258.1809089
Barbara Freeman,141.890534,Barbara,Freeman,141.890534
Rebecca Zimmerman,293.373272,Rebecca,Zimmerman,293.373272
Patricia Velasquez,249.9479246,Patricia,Velasquez,249.9479246
Ronnie Clark,272.908659,Ronnie,Clark,272.908659
Timothy Rose,65.74326968,Timothy,Rose,
Joshua Ramirez,64.54997394,Joshua,Ramirez,
Joseph Dawson,111.0171384,Joseph,Dawson,111.0171384
Robert Rios,87.31797988,Robert,Rios,
Karen Mitchell,277.2511543,Karen,Mitchell,277.2511543
Patrick Greene,7.259436115,Patrick,Greene,
Matthew Nelson,295.3146887,Matthew,Nelson,295.3146887
Melissa Smith,70.04282129,Melissa,Smith,
Amy Johnson,78.26892103,Amy,Johnson,
Edgar Ellis,208.6777041,Edgar,Ellis,208.6777041
Olivia Rivera,104.8094951,Olivia,Rivera,104.8094951
Kelly Leblanc,40.20849552,Kelly,Leblanc,
Jennifer Anderson,17.90633335,Jennifer,Anderson,
Tammy Clark,125.0672217,Tammy,Clark,125.0672217
Jennifer Marquez,21.63604687,Jennifer,Marquez,
Cory Silva,36.24541189,Cory,Silva,
Mackenzie Moon,264.9268902,Mackenzie,Moon,264.9268902
Larry Wade,126.3049676,Larry,Wade,126.3049676
Diana Shaffer,37.50406255,Diana,Shaffer,
Stephen Smith,168.1895294,Stephen,Smith,168.1895294
Kendra White,265.1085587,Kendra,White,265.1085587
Lindsey Williamson,280.3953974,Lindsey,Williamson,280.3953974
Wanda Hale,106.0997985,Wanda,Hale,106.0997985
Jillian Davies,10.64366962,Jillian,Davies,
Douglas Thomas,119.0382607,Douglas,Thomas,119.0382607
Jennifer Davis,153.0526538,Jennifer,Davis,153.0526538
George Holmes,44.38614111,George,Holmes,
Marissa Webster,105.4378241,Marissa,Webster,105.4378241
Anna Boyle,80.47552199,Anna,Boyle,
Paul Gillespie,174.6815735,Paul,Gillespie,174.6815735
Autumn Johnston,132.780344,Autumn,Johnston,132.780344
Tracey Norton,118.0225331,Tracey,Norton,118.0225331
Amy Flynn,128.6739798,Amy,Flynn,128.6739798
Melissa Davis,72.58977535,Melissa,Davis,
Vincent Mitchell,78.43990466,Vincent,Mitchell,
Gregory Martin,144.6915752,Gregory,Martin,144.6915752
Robert Coffey Jr.,117.3205633,Robert,Coffey Jr.,117.3205633
Melissa Montgomery,101.4845534,Melissa,Montgomery,101.4845534
Krystal Cunningham,296.536062,Krystal,Cunningham,296.536062
Scott Lee,163.4878508,Scott,Lee,163.4878508
James Murray,28.59025756,James,Murray,
Hunter Stokes,3.582742282,Hunter,Stokes,
Jasmine Austin,33.90382995,Jasmine,Austin,
Grant Summers,51.78034157,Grant,Summers,
Sarah Spencer,271.6023676,Sarah,Spencer,271.6023676
Brianna Lewis,192.617676,Brianna,Lewis,192.617676
Rhonda Martin,145.6455553,Rhonda,Martin,145.6455553
Dennis Lawrence Jr.,161.3584294,Dennis,Lawrence Jr.,161.3584294
Michael Stewart,245.4400987,Michael,Stewart,245.4400987
William Wilkins,22.90555849,William,Wilkins,
Rebecca Jimenez,142.590737,Rebecca,Jimenez,142.590737
Kathleen Roman,15.10135967,Kathleen,Roman,
Billy Smith,22.53181535,Billy,Smith,
Nicole James,101.913846,Nicole,James,101.913846
Allison Holt,12.7990102,Allison,Holt,
Amanda Johnson,19.17461281,Amanda,Johnson,
Michael Spencer,171.890946,Michael,Spencer,171.890946
Brandi King,30.05366744,Brandi,King,
Alexander King,23.47063099,Alexander,King,
Nicole Sampson,207.6385148,Nicole,Sampson,207.6385148
Savannah Bell,22.05563858,Savannah,Bell,
Jessica Harris,103.7031099,Jessica,Harris,103.7031099
Lauren Gallagher,266.215602,Lauren,Gallagher,266.215602
Jack Townsend,93.27791862,Jack,Townsend,
Jamie Nguyen,228.9953328,Jamie,Nguyen,228.9953328
Ann Price,266.323001,Ann,Price,266.323001
Michael Rodriguez,224.0452951,Michael,Rodriguez,224.0452951
Heather Davidson,219.8337855,Heather,Davidson,219.8337855
Marie Green,146.6406753,Marie,Green,146.6406753
Lori Tapia,147.3422789,Lori,Tapia,147.3422789
Kayla Alvarado,127.2410425,Kayla,Alvarado,127.2410425
Susan Crosby,200.3652912,Susan,Crosby,200.3652912
Nathan Harris,163.8731027,Nathan,Harris,163.8731027
Michael Daniel,4.582288435,Michael,Daniel,
Ashley Jones,53.14943439,Ashley,Jones,
John Wright,91.35592502,John,Wright,
Melissa Jordan,294.2154133,Melissa,Jordan,294.2154133
Carrie Jackson,232.6768105,Carrie,Jackson,232.6768105
Rebecca Anderson,183.1702424,Rebecca,Anderson,183.1702424
Paul Powell,105.1162169,Paul,Powell,105.1162169
Shawn Baxter,81.03527984,Shawn,Baxter,
Sarah Wright,141.0101793,Sarah,Wright,141.0101793
Kimberly Romero,235.624084,Kimberly,Romero,235.624084
Matthew Washington,186.5044837,Matthew,Washington,186.5044837
